frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.46, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.52, 0.00, 0.00, 1.40, 0.92, 0.84, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
2, 0, 0.033, 0.98, 1, 0.00, 0.00, 0.52, 0.03, 0.00, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.49, 0.00, 0.00, 1.41, 1.58, 1.86, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
3, 0, 0.067, 0.98, 1, 0.15, 0.00, 0.53, 0.03, 0.00, 0.87, 0.00, 0.11, 0.00, 0.00, 0.00, 0.43, 0.00, 0.00, 1.51, 2.00, 2.42, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
4, 0, 0.100, 0.98, 1, 0.52, 0.00, 0.33, 0.00, 0.00, 1.08, 0.00, 0.31, 0.00, 0.00, 0.00, 0.43, 0.00, 0.00, 1.74, 2.29, 2.38, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
5, 0, 0.133, 0.98, 1, 1.11, 0.19, 0.16, 0.10, 0.00, 0.93, 0.00, 0.36, 0.00, 0.00, 0.00, 0.64, 0.00, 0.00, 1.83, 2.54, 1.76, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
6, 0, 0.167, 0.98, 1, 1.63, 0.41, 0.00, 0.25, 0.00, 0.72, 0.00, 0.35, 0.00, 0.00, 0.00, 0.89, 0.00, 0.00, 1.86, 2.92, 1.22, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
7, 0, 0.200, 0.98, 1, 2.12, 0.73, 0.00, 0.49, 0.00, 0.43, 0.00, 0.19, 0.00, 0.00, 0.00, 1.13, 0.00, 0.00, 1.73, 3.14, 0.77, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
8, 0, 0.234, 0.98, 1, 2.40, 0.92, 0.00, 0.80, 0.00, 0.30, 0.00, 0.13, 0.00, 0.00, 0.00, 1.22, 0.00, 0.00, 1.55, 3.19, 0.61, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
9, 0, 0.267, 0.98, 1, 2.68, 1.06, 0.00, 1.02, 0.00, 0.18, 0.00, 0.03, 0.00, 0.00, 0.00, 1.21, 0.00, 0.00, 1.40, 3.11, 0.43, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10, 0, 0.300, 0.98, 1, 2.66, 1.06, 0.00, 1.17, 0.00, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 1.18, 0.00, 0.00, 1.31, 2.92, 0.36, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
11, 0, 0.334, 0.98, 1, 2.64, 0.98, 0.00, 1.09, 0.00, 0.21, 0.00, 0.00, 0.00, 0.00, 0.00, 1.07, 0.00, 0.00, 1.09, 2.65, 0.34, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
12, 0, 0.367, 0.98, 1, 2.29, 0.70, 0.00, 1.10, 0.00, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 1.03, 0.00, 0.00, 0.71, 2.22, 0.30, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
13, 0, 0.400, 0.98, 1, 1.81, 0.39, 0.00, 0.92, 0.00, 0.42, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.31, 1.85, 0.26, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
14, 0, 0.434, 0.98, 1, 1.13, 0.09, 0.00, 0.72, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 1.05, 0.00, 0.00, 0.07, 1.43, 0.19, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
15, 0, 0.467, 0.98, 1, 0.55, 0.00, 0.00, 0.36, 0.00, 0.60, 0.00, 0.00, 0.00, 0.00, 0.00, 1.06, 0.00, 0.00, 0.01, 1.14, 0.16, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
16, 0, 0.501, 0.98, 1, 0.19, 0.00, 0.00, 0.14, 0.00, 0.74, 0.00, 0.04, 0.00, 0.00, 0.00, 0.98, 0.00, 0.00, 0.09, 0.93, 0.29, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
17, 0, 0.534, 0.98, 1, 0.02, 0.00, 0.00, 0.01, 0.00, 0.78, 0.00, 0.09, 0.00, 0.00, 0.00, 0.80, 0.00, 0.00, 0.20, 0.85, 0.37, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
18, 0, 0.567, 0.98, 1, 0.00, 0.00, 0.06, 0.00, 0.00, 0.78, 0.02, 0.24, 0.00, 0.00, 0.00, 0.50, 0.00, 0.00, 0.48, 0.69, 0.32, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
19, 0, 0.601, 0.98, 1, 0.00, 0.00, 0.08, 0.00, 0.00, 0.78, 0.02, 0.36, 0.00, 0.00, 0.00, 0.23, 0.00, 0.00, 0.87, 0.55, 0.19, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
20, 0, 0.634, 0.98, 1, 0.00, 0.00, 0.20, 0.00, 0.00, 1.02, 0.07, 0.39, 0.01, 0.00, 0.00, 0.10, 0.00, 0.00, 1.43, 0.64, 0.26, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
21, 0, 0.667, 0.98, 1, 0.00, 0.00, 0.24, 0.00, 0.00, 1.21, 0.14, 0.41, 0.03, 0.00, 0.00, 0.15, 0.00, 0.00, 1.79, 0.91, 0.38, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
22, 0, 0.701, 0.98, 1, 0.00, 0.00, 0.38, 0.00, 0.00, 1.47, 0.23, 0.49, 0.09, 0.00, 0.00, 0.16, 0.00, 0.00, 1.95, 1.15, 0.56, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
23, 0, 0.734, 0.98, 1, 0.00, 0.00, 0.35, 0.00, 0.06, 1.58, 0.18, 0.66, 0.14, 0.00, 0.00, 0.66, 0.04, 0.00, 1.38, 0.94, 0.60, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
24, 0, 0.767, 0.98, 1, 0.00, 0.00, 0.32, 0.00, 0.08, 1.41, 0.09, 0.71, 0.12, 0.00, 0.09, 1.36, 0.15, 0.00, 0.74, 0.52, 0.73, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00
25, 0, 0.801, 0.98, 1, 0.00, 0.00, 0.19, 0.00, 0.10, 1.27, 0.00, 0.63, 0.06, 0.00, 0.21, 2.14, 0.31, 0.00, 0.10, 0.11, 0.77, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
26, 0, 0.834, 0.98, 1, 0.00, 0.00, 0.24, 0.00, 0.06, 1.05, 0.00, 0.55, 0.00, 0.00, 0.35, 2.22, 0.37, 0.00, 0.00, 0.08, 0.86, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
27, 0, 0.868, 0.98, 1, 0.00, 0.00, 0.31, 0.00, 0.06, 1.17, 0.00, 0.48, 0.05, 0.00, 0.25, 1.82, 0.33, 0.00, 0.00, 0.08, 0.95, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
28, 0, 0.901, 0.98, 1, 0.00, 0.00, 0.39, 0.00, 0.13, 1.17, 0.00, 0.54, 0.16, 0.00, 0.14, 1.36, 0.19, 0.00, 0.10, 0.14, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
29, 0, 0.934, 0.98, 1, 0.00, 0.00, 0.36, 0.00, 0.17, 1.29, 0.00, 0.53, 0.26, 0.00, 0.00, 0.93, 0.09, 0.00, 0.15, 0.07, 1.10, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
30, 0, 0.968, 0.98, 1, 0.00, 0.00, 0.28, 0.00, 0.21, 1.19, 0.00, 0.55, 0.27, 0.00, 0.00, 0.81, 0.02, 0.00, 0.15, 0.07, 1.07, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
31, 0, 1.001, 0.98, 1, 0.00, 0.00, 0.17, 0.00, 0.13, 1.07, 0.00, 0.46, 0.19, 0.00, 0.00, 0.78, 0.00, 0.00, 0.05, 0.00, 1.13, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
32, 0, 1.034, 0.98, 1, 0.00, 0.00, 0.06, 0.00, 0.06, 0.87, 0.00, 0.42, 0.14, 0.00, 0.00, 0.83, 0.00, 0.00, 0.00, 0.00, 1.06, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
33, 0, 1.068, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.06, 0.91, 0.00, 0.50, 0.14, 0.00, 0.00, 0.78, 0.00, 0.00, 0.00, 0.00, 1.01, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
34, 0, 1.101, 0.98, 1, 0.00, 0.00, 0.01, 0.00, 0.22, 1.14, 0.03, 0.71, 0.29, 0.00, 0.00, 0.57, 0.00, 0.00, 0.33, 0.17, 0.94, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
35, 0, 1.134, 0.98, 1, 0.00, 0.00, 0.07, 0.00, 0.39, 1.35, 0.11, 0.90, 0.46, 0.00, 0.00, 0.30, 0.00, 0.00, 0.86, 0.35, 0.78, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
36, 0, 1.168, 0.98, 1, 0.00, 0.00, 0.18, 0.00, 0.50, 1.51, 0.20, 1.01, 0.57, 0.00, 0.00, 0.09, 0.00, 0.00, 1.43, 0.69, 0.77, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
37, 0, 1.201, 0.98, 1, 0.00, 0.00, 0.29, 0.00, 0.48, 1.64, 0.26, 1.02, 0.56, 0.00, 0.00, 0.05, 0.00, 0.00, 1.69, 0.91, 0.67, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
38, 0, 1.235, 0.98, 1, 0.00, 0.00, 0.34, 0.00, 0.40, 1.77, 0.24, 1.07, 0.49, 0.00, 0.00, 0.19, 0.00, 0.00, 1.75, 1.16, 0.78, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
39, 0, 1.268, 0.98, 1, 0.00, 0.00, 0.36, 0.00, 0.30, 1.78, 0.19, 1.16, 0.45, 0.00, 0.00, 0.33, 0.00, 0.00, 1.73, 1.23, 0.86, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
40, 0, 1.301, 0.98, 1, 0.00, 0.00, 0.39, 0.00, 0.21, 1.70, 0.16, 1.17, 0.39, 0.00, 0.00, 0.52, 0.00, 0.00, 1.47, 1.14, 0.94, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
41, 0, 1.335, 0.98, 1, 0.00, 0.00, 0.43, 0.00, 0.12, 1.59, 0.09, 1.10, 0.24, 0.00, 0.00, 0.76, 0.00, 0.00, 0.88, 0.71, 0.94, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
42, 0, 1.368, 0.98, 1, 0.00, 0.00, 0.50, 0.00, 0.07, 1.55, 0.04, 0.98, 0.11, 0.00, 0.00, 0.93, 0.00, 0.00, 0.33, 0.30, 0.94, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
43, 0, 1.401, 0.98, 1, 0.00, 0.00, 0.57, 0.00, 0.03, 1.48, 0.00, 0.90, 0.01, 0.00, 0.00, 0.93, 0.00, 0.00, 0.00, 0.00, 1.02, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
